[228488][lighthouse3]: {'lighthouse.angle0x_3': 0.029165148735046387, 'lighthouse.angle0y_3': -0.19639496505260468, 'lighthouse.angle1x_3': -0.18082952499389648, 'lighthouse.angle1y_3': -0.26781412959098816} 
[228498][lighthouse3]: {'lighthouse.angle0x_3': 0.029165148735046387, 'lighthouse.angle0y_3': -0.19639496505260468, 'lighthouse.angle1x_3': -0.18082952499389648, 'lighthouse.angle1y_3': -0.26781412959098816} 
[228508][lighthouse3]: {'lighthouse.angle0x_3': 0.029165148735046387, 'lighthouse.angle0y_3': -0.19639496505260468, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228518][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228529][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[228538][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[228548][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[228558][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18084920942783356, 'lighthouse.angle1y_3': -0.2677793502807617} 
[228568][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18083597719669342, 'lighthouse.angle1y_3': -0.26780271530151367} 
[228578][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18083597719669342, 'lighthouse.angle1y_3': -0.26780271530151367} 
[228588][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[228598][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18086227774620056, 'lighthouse.angle1y_3': -0.2677799165248871} 
[228608][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18086875975131989, 'lighthouse.angle1y_3': -0.26779210567474365} 
[228618][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18086875975131989, 'lighthouse.angle1y_3': -0.26779210567474365} 
[228628][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18081629276275635, 'lighthouse.angle1y_3': -0.2678374946117401} 
[228638][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18081629276275635, 'lighthouse.angle1y_3': -0.2678374946117401} 
[228648][lighthouse3]: {'lighthouse.angle0x_3': 0.02917812392115593, 'lighthouse.angle0y_3': -0.19634689390659332, 'lighthouse.angle1x_3': -0.18084245920181274, 'lighthouse.angle1y_3': -0.26786255836486816} 
[228658][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18084245920181274, 'lighthouse.angle1y_3': -0.26786255836486816} 
[228668][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18080316483974457, 'lighthouse.angle1y_3': -0.26786065101623535} 
[228678][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18080316483974457, 'lighthouse.angle1y_3': -0.26786065101623535} 
[228688][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18082952499389648, 'lighthouse.angle1y_3': -0.26781412959098816} 
[228698][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18082952499389648, 'lighthouse.angle1y_3': -0.26781412959098816} 
[228708][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18084271252155304, 'lighthouse.angle1y_3': -0.26776719093322754} 
[228718][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18084271252155304, 'lighthouse.angle1y_3': -0.26776719093322754} 
[228728][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18086232244968414, 'lighthouse.angle1y_3': -0.2677561938762665} 
[228738][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18086232244968414, 'lighthouse.angle1y_3': -0.2677561938762665} 
[228748][lighthouse3]: {'lighthouse.angle0x_3': 0.029145214706659317, 'lighthouse.angle0y_3': -0.1963099241256714, 'lighthouse.angle1x_3': -0.18087539076805115, 'lighthouse.angle1y_3': -0.267756849527359} 
[228758][lighthouse3]: {'lighthouse.angle0x_3': 0.02905944362282753, 'lighthouse.angle0y_3': -0.19636940956115723, 'lighthouse.angle1x_3': -0.18087539076805115, 'lighthouse.angle1y_3': -0.267756849527359} 
[228768][lighthouse3]: {'lighthouse.angle0x_3': 0.02905944362282753, 'lighthouse.angle0y_3': -0.19636940956115723, 'lighthouse.angle1x_3': -0.18085570633411407, 'lighthouse.angle1y_3': -0.2677915096282959} 
